VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
Drone3	1670628446336	9.76562e-06	9.76562e-06	22.211	0.904083	0	0	0.427356	
Drone2	1670628446336	4.88281e-06	9.76562e-06	12.7422	0.904083	0	0	0.427356	
Drone1	1670628446336	2.13623e-06	2.58908e-06	3.21764	0.904083	0	0	0.427356	
Drone4	1670628446336	9.76562e-06	9.76562e-06	18.1553	0.904083	0	0	0.427356	
Drone3	1670628446387	9.76562e-06	9.76562e-06	22.1864	0.904083	0	0	0.427356	
Drone2	1670628446387	4.88281e-06	9.76562e-06	12.7176	0.904083	0	0	0.427356	
Drone1	1670628446387	2.13623e-06	2.58908e-06	3.19311	0.904083	0	0	0.427356	
Drone4	1670628446387	9.76562e-06	9.76562e-06	18.1308	0.904083	0	0	0.427356	
Drone3	1670628446438	9.76562e-06	9.76562e-06	22.1618	0.904083	0	0	0.427356	
Drone2	1670628446438	4.88281e-06	9.76562e-06	12.693	0.904083	0	0	0.427356	
Drone1	1670628446438	2.13623e-06	2.58908e-06	3.16853	0.904083	0	0	0.427356	
Drone4	1670628446438	9.76562e-06	9.76562e-06	18.1062	0.904083	0	0	0.427356	
Drone3	1670628446489	9.76562e-06	9.76562e-06	22.1372	0.904083	0	0	0.427356	
Drone2	1670628446489	4.88281e-06	9.76562e-06	12.6684	0.904083	0	0	0.427356	
Drone1	1670628446489	2.13623e-06	2.58908e-06	3.14392	0.904083	0	0	0.427356	
Drone4	1670628446489	9.76562e-06	9.76562e-06	18.0815	0.904083	0	0	0.427356	
Drone3	1670628446540	9.76562e-06	9.76562e-06	22.1125	0.904083	0	0	0.427356	
Drone2	1670628446540	4.88281e-06	9.76562e-06	12.6437	0.904083	0	0	0.427356	
Drone1	1670628446540	2.13623e-06	2.58908e-06	3.11926	0.904083	0	0	0.427356	
Drone4	1670628446540	9.76562e-06	9.76562e-06	18.0569	0.904083	0	0	0.427356	
Drone3	1670628446591	9.76562e-06	9.76562e-06	22.0878	0.904083	0	0	0.427356	
Drone2	1670628446591	4.88281e-06	9.76562e-06	12.619	0.904083	0	0	0.427356	
Drone1	1670628446591	2.13623e-06	2.58908e-06	3.09457	0.904083	0	0	0.427356	
Drone4	1670628446591	9.76562e-06	9.76562e-06	18.0322	0.904083	0	0	0.427356	
Drone3	1670628446642	9.76562e-06	9.76562e-06	22.0631	0.904083	0	0	0.427356	
Drone2	1670628446642	4.88281e-06	9.76562e-06	12.5943	0.904083	0	0	0.427356	
Drone1	1670628446642	2.13623e-06	2.58908e-06	3.06984	0.904083	0	0	0.427356	
Drone4	1670628446642	9.76562e-06	9.76562e-06	18.0074	0.904083	0	0	0.427356	
Drone3	1670628446693	9.76562e-06	9.76562e-06	22.0383	0.904083	0	0	0.427356	
Drone2	1670628446693	4.88281e-06	9.76562e-06	12.5695	0.904083	0	0	0.427356	
Drone1	1670628446693	2.13623e-06	2.58908e-06	3.04508	0.904083	0	0	0.427356	
Drone4	1670628446693	9.76562e-06	9.76562e-06	17.9827	0.904083	0	0	0.427356	
Drone3	1670628446744	9.76562e-06	9.76562e-06	22.0135	0.904083	0	0	0.427356	
Drone2	1670628446744	4.88281e-06	9.76562e-06	12.5447	0.904083	0	0	0.427356	
Drone1	1670628446744	2.13623e-06	2.58908e-06	3.02028	0.904083	0	0	0.427356	
Drone4	1670628446744	9.76562e-06	9.76562e-06	17.9579	0.904083	0	0	0.427356	
Drone3	1670628446795	9.76562e-06	9.76562e-06	21.9887	0.904083	0	0	0.427356	
Drone2	1670628446795	4.88281e-06	9.76562e-06	12.5199	0.904083	0	0	0.427356	
Drone1	1670628446795	2.13623e-06	2.58908e-06	2.99546	0.904083	0	0	0.427356	
Drone4	1670628446795	9.76562e-06	9.76562e-06	17.933	0.904083	0	0	0.427356	
Drone3	1670628446846	9.76562e-06	9.76562e-06	21.9638	0.904083	0	0	0.427356	
Drone2	1670628446846	4.88281e-06	9.76562e-06	12.4951	0.904083	0	0	0.427356	
Drone1	1670628446846	2.13623e-06	2.58908e-06	2.97061	0.904083	0	0	0.427356	
Drone4	1670628446846	9.76562e-06	9.76562e-06	17.9082	0.904083	0	0	0.427356	
Drone3	1670628446897	9.76562e-06	9.76562e-06	21.9389	0.904083	0	0	0.427356	
Drone2	1670628446897	4.88281e-06	9.76562e-06	12.4702	0.904083	0	0	0.427356	
Drone1	1670628446897	2.13623e-06	2.58908e-06	2.94573	0.904083	0	0	0.427356	
Drone4	1670628446897	9.76562e-06	9.76562e-06	17.8833	0.904083	0	0	0.427356	
Drone3	1670628446948	9.76562e-06	9.76562e-06	21.914	0.904083	0	0	0.427356	
Drone2	1670628446948	4.88281e-06	9.76562e-06	12.4453	0.904083	0	0	0.427356	
Drone1	1670628446948	2.13623e-06	2.58908e-06	2.92083	0.904083	0	0	0.427356	
Drone4	1670628446948	9.76562e-06	9.76562e-06	17.8584	0.904083	0	0	0.427356	
